1-30 d,1-30 రోజులు
Approved On,ఆమోదించిన తేదీ
Approved for Pouring,పోయడానికి ఆమోదం
Ask KUMAR to settle a failure under warranty. Name the parts and say what the technician found - a claim with evidence is settled faster than one without.,"వారంటీ కింద ఒక లోపాన్ని సెటిల్ చేయమని KUMAR ను అడగండి. ఏ పార్ట్‌లు పోయాయో, టెక్నీషియన్ ఏం కనుగొన్నారో రాయండి - ఆధారాలున్న క్లెయిమ్ త్వరగా సెటిల్ అవుతుంది."
"Ask KUMAR to settle a part, a whole unit or a repair bill.","ఒక పార్ట్, పూర్తి యూనిట్ లేదా మరమ్మతు బిల్లును సెటిల్ చేయమని KUMAR ను అడగండి."
Assembly,అసెంబ్లీ
Assigned,కేటాయించబడింది
At work,పనిలో ఉన్నారు
Attendance,హాజరు
Attendance Mix,హాజరు వివరాలు
Authorised Dealer,అధీకృత డీలర్
Authorised Distributor,అధీకృత డిస్ట్రిబ్యూటర్
Authorised distributors,అధీకృత డిస్ట్రిబ్యూటర్లు
Auto = HP x 0.7457,ఆటో = HP x 0.7457
Auto from Invoice,ఇన్‌వాయిస్ నుండి ఆటోమేటిక్
Auto-registration skipped: no Dealer on the invoice or customer.,ఆటో-రిజిస్ట్రేషన్ వదిలేశాం: ఇన్‌వాయిస్ మీద లేదా కస్టమర్ మీద డీలర్ లేరు.
Automated foundry,ఆటోమేటెడ్ ఫౌండ్రీ
Average Gross,సగటు స్థూల జీతం
Average Invoice,సగటు ఇన్‌వాయిస్
Average Realisation,సగటు వసూలు
Avg / Pump,సగటు / పంప్
Avg Rate,సగటు ధర
Avg per Pump,పంప్‌కు సగటు
Awaiting Bill,బిల్లు కోసం ఎదురుచూస్తోంది
Awaiting Delivery,డెలివరీ కోసం ఎదురుచూస్తోంది
Awaiting Parts,పార్ట్‌ల కోసం ఎదురుచూస్తోంది
BIS Standard,BIS ప్రమాణం
BIS Standard Ref,BIS ప్రమాణం రిఫరెన్స్
BOM,BOM
BOM Explorer,BOM ఎక్స్‌ప్లోరర్
Base Type,బేస్ రకం
Batch,బ్యాచ్
Batch Defect Analysis,బ్యాచ్ లోపాల విశ్లేషణ
Batch Failure Alert Threshold %,బ్యాచ్ లోప హెచ్చరిక పరిమితి %
Batch {0},బ్యాచ్ {0}
Batch-Wise Balance History,బ్యాచ్ వారీ నిల్వ చరిత్ర
Bearing Failure,బేరింగ్ లోపం
Best Selling Models,ఎక్కువ అమ్ముడైన మోడల్‌లు
Bill No,బిల్లు నంబర్
Billed,బిల్లు చేయబడింది
"Billed to You, 30 Days","మీకు బిల్లు చేసినవి, 30 రోజులు"
Bills,బిల్లులు
Block Dispatch Unless QC Passed,QC పాస్ కాకపోతే డిస్పాచ్ ఆపు
Booster Pumps,బూస్టర్ పంపులు
Borewell Depth (ft),బోరుబావి లోతు (అడుగులు)
Branch,బ్రాంచ్
Branch Office,బ్రాంచ్ ఆఫీసు
Branch offices,బ్రాంచ్ ఆఫీసులు
Built,తయారైంది
"Built and Tested, by Day",రోజువారీ తయారీ మరియు టెస్ట్
Bulk Import,బల్క్ ఇంపోర్ట్
Buying & Selling,కొనుగోలు & అమ్మకం
"CNC, VMC and HMC machining","CNC, VMC మరియు HMC మెషీనింగ్"
Cable Fault,కేబుల్ లోపం
Call these customers,ఈ కస్టమర్లకు ఫోన్ చేయండి
Cancelled,రద్దు చేయబడింది
Cannot pass this unit: {0} test failed,ఈ యూనిట్‌ను పాస్ చేయలేము: {0} టెస్ట్ విఫలమైంది
Carbon Equivalent,కార్బన్ ఈక్వివలెంట్
Casing Heat,కేసింగ్ హీట్
Cast Iron,కాస్ట్ ఐరన్
Catalogue,కేటలాగ్
Category,కేటగిరీ
Category Name,కేటగిరీ పేరు
Centrifugal Monobloc,సెంట్రిఫ్యూగల్ మోనోబ్లాక్
Certificate,సర్టిఫికెట్
Certificate Issued On Behalf Of,సర్టిఫికెట్ ఎవరి తరఫున జారీ అవుతుంది
Certificate No,సర్టిఫికెట్ నంబర్
Charge Weight (kg),ఛార్జ్ బరువు (కేజీ)
Chargeable,ఛార్జ్ చేయదగినది
Chart unavailable,చార్ట్ అందుబాటులో లేదు
Check Warranty,వారంటీ చూడండి
Check a Pump,పంప్ వివరాలు చూడండి
Check a warranty,వారంటీ చూడండి
Check the file,ఫైల్‌ను తనిఖీ చేయి
Checking...,తనిఖీ చేస్తోంది...
Chemistry Out of Spec,రసాయన కూర్పు స్పెక్ దాటింది
Chemistry within spec - CE {0},రసాయన కూర్పు స్పెక్ లోపలే ఉంది - CE {0}
Choose a part,ఒక పార్ట్ ఎంచుకోండి
Choose file and check,ఫైల్ ఎంచుకుని తనిఖీ చేయి
Choose from your pumps,మీ పంపుల నుండి ఎంచుకోండి
Choose one,ఒకటి ఎంచుకోండి
Choose what is wrong with the pump,పంప్‌కు ఏం సమస్య ఉందో ఎంచుకోండి
City,పట్టణం
Claim,క్లెయిమ్
Claim Amount,క్లెయిమ్ మొత్తం
Claim Date,క్లెయిమ్ తేదీ
Claim Part Row,క్లెయిమ్ పార్ట్ వరుస
Claim Type,క్లెయిమ్ రకం
Claim Warranty,వారంటీ క్లెయిమ్ చేయండి
Claim status: {0},క్లెయిమ్ స్థితి: {0}
Claim {0} has been lodged. KUMAR will review it and you can follow it under My Tickets.,"క్లెయిమ్ {0} నమోదైంది. KUMAR దాన్ని పరిశీలిస్తుంది, మీరు నా టికెట్లలో దాన్ని చూడవచ్చు."
Claimed Parts,క్లెయిమ్ చేసిన పార్ట్‌లు
Claims,క్లెయిమ్‌లు
Claims being checked,పరిశీలనలో ఉన్న క్లెయిమ్‌లు
Clear,తుడిచేయి
Clear filters,ఫిల్టర్లు తొలగించు
Closed,ముగిసింది
Comma separated days before expiry to remind,గడువు ముగియడానికి ఎన్ని రోజుల ముందు గుర్తు చేయాలి - కామాతో వేరు చేయండి
Commercial,వాణిజ్య
Complaint,ఫిర్యాదు
Complaint Description,ఫిర్యాదు వివరణ
Complaint {0} is with KUMAR. A free visit is due - this pump is in warranty.,"ఫిర్యాదు {0} KUMAR కు చేరింది. ఈ పంప్ వారంటీలో ఉంది, కాబట్టి ఉచిత సందర్శన వస్తుంది."
"Complaint {0} is with KUMAR. This pump is out of warranty, so the visit is chargeable.","ఫిర్యాదు {0} KUMAR కు చేరింది. ఈ పంప్ వారంటీ ముగిసింది, కాబట్టి సందర్శనకు ఛార్జీ ఉంటుంది."
Complaints,ఫిర్యాదులు
Complaints from your customers that are still open,మీ కస్టమర్ల నుండి ఇంకా తెరిచి ఉన్న ఫిర్యాదులు
Compliance,ప్రమాణాల పాలన
Configuration,కాన్ఫిగరేషన్
Contact,సంప్రదింపు
Contact KUMAR,KUMAR ను సంప్రదించండి
Contact Person,సంప్రదించాల్సిన వ్యక్తి
Continuous R &amp; D,నిరంతర పరిశోధన &amp; అభివృద్ధి
Copper,రాగి
Copper Wire Batch,రాగి తీగ బ్యాచ్
Could not load this screen. You may not have permission for it.,ఈ స్క్రీన్ లోడ్ కాలేదు. మీకు దీనికి అనుమతి లేకపోవచ్చు.
Create,సృష్టించు
Credit Limit,క్రెడిట్ పరిమితి
Credit Note,క్రెడిట్ నోట్
Critical,అత్యవసరం
Cure Duration (min),క్యూర్ సమయం (నిమిషాలు)
Current (A),కరెంట్ (A)
Customer,కస్టమర్
Customer Mobile,కస్టమర్ మొబైల్
Customer Name,కస్టమర్ పేరు
Customer Sign-off,కస్టమర్ ఆమోదం
Customer Signature,కస్టమర్ సంతకం
Customer mobile is required on a sold pump,అమ్మిన పంప్‌కు కస్టమర్ మొబైల్ తప్పనిసరి
Customer name is required on a sold pump,అమ్మిన పంప్‌కు కస్టమర్ పేరు తప్పనిసరి
DISA computerised foundry from Denmark,డెన్మార్క్ నుండి DISA కంప్యూటరైజ్డ్ ఫౌండ్రీ
DISA moulding machines installed in the foundry,ఫౌండ్రీలో DISA మౌల్డింగ్ మెషీన్ల ఏర్పాటు
"DISA moulding on German technology, for accuracy and casting strength.",జర్మన్ టెక్నాలజీ ఆధారిత DISA మౌల్డింగ్ - కచ్చితత్వం మరియు కాస్టింగ్ బలం కోసం.
Daily Production,రోజువారీ ఉత్పత్తి
Data Migration,డేటా మైగ్రేషన్
Date,తేదీ
Date Sold,అమ్మిన తేదీ
Date of Sale,అమ్మిన తేదీ
Date range is limited to {0} days,కాల పరిధి గరిష్ఠంగా {0} రోజులు మాత్రమే
Days,రోజులు
Days Since Last Sale,చివరి అమ్మకం నుండి రోజులు
Days Since Sale,చివరి అమ్మకం నుండి రోజులు
Dealer,డీలర్
Dealer Code,డీలర్ కోడ్
Dealer Desk,డీలర్ డెస్క్
Dealer Manager,డీలర్ మేనేజర్
Dealer Name,డీలర్ పేరు
Dealer Network,డీలర్ నెట్‌వర్క్
Dealer Performance,డీలర్ పనితీరు
Dealer Portal,డీలర్ పోర్టల్
Dealer Requests,డీలర్ రిక్వెస్ట్‌లు
Dealer Requests & Claims,డీలర్ రిక్వెస్ట్‌లు & క్లెయిమ్‌లు
Dealer Stamp &amp; Signature,డీలర్ స్టాంప్ &amp; సంతకం
Dealer Tree,డీలర్ వృక్షం
Dealer Type,డీలర్ రకం
"Dealer asks for warranty settlement. Heat and winding batch ride along, which is what makes batch defect analysis possible.",డీలర్ వారంటీ సెటిల్‌మెంట్ కోరుతున్నారు. హీట్ మరియు వైండింగ్ బ్యాచ్ కూడా దీనితో పాటే వస్తాయి - అందుకే బ్యాచ్ లోపాల విశ్లేషణ సాధ్యమవుతుంది.
Dealer login,డీలర్ లాగిన్
Dealer records a sale. This is what starts the warranty clock and issues the certificate.,డీలర్ ఒక అమ్మకాన్ని నమోదు చేస్తారు. ఇదే వారంటీ కాలాన్ని మొదలుపెట్టి సర్టిఫికెట్ జారీ చేస్తుంది.
Dealer {0} does not exist,{0} డీలర్ లేరు
Dealer's,డీలర్‌వి
Dealer's GSTIN,డీలర్ GSTIN
Dealer's Invoice Date,డీలర్ ఇన్‌వాయిస్ తేదీ
Dealer's Invoice No,డీలర్ ఇన్‌వాయిస్ నంబర్
Dealer's Invoice Required,డీలర్ ఇన్‌వాయిస్ తప్పనిసరి
Dealers can only register sales up to {0} days old. Contact the branch office.,డీలర్లు {0} రోజుల లోపు అమ్మకాలను మాత్రమే రిజిస్టర్ చేయగలరు. బ్రాంచ్ ఆఫీసును సంప్రదించండి.
Deductions,మినహాయింపులు
Default Service Centre,డిఫాల్ట్ సర్వీస్ సెంటర్
Default Warranty (Months),డిఫాల్ట్ వారంటీ (నెలలు)
Defect Observed,గమనించిన లోపం
Defect Photo,లోపం ఫోటో
Defective Part Returned,లోపమున్న పార్ట్ తిరిగి వచ్చింది
Defective Parts,లోపమున్న పార్ట్‌లు
Delivered,డెలివరీ అయింది
Delivery Note,డెలివరీ నోట్
Delivery Size (inch),డెలివరీ సైజు (అంగుళం)
Department,విభాగం
Describe the problem in the customer's own words,కస్టమర్ మాటల్లోనే సమస్యను రాయండి
Describe what the customer is reporting,కస్టమర్ చెబుతున్నది రాయండి
Description,వివరణ
Designation,హోదా
Desk,డెస్క్
Details,వివరాలు
Direct - KUMAR Invoice,నేరుగా - KUMAR ఇన్‌వాయిస్
Discharge,డిశ్చార్జ్
Discharge (LPM),డిశ్చార్జ్ (LPM)
Discharge Max,గరిష్ఠ డిశ్చార్జ్
Discharge Min,కనిష్ఠ డిశ్చార్జ్
Discharge UOM,డిశ్చార్జ్ కొలమానం
Dispatched,పంపబడింది
District,జిల్లా
Domestic,గృహ
Doosan twin-spindle machines from Korea,కొరియా నుండి డూసాన్ ట్విన్-స్పిండిల్ మెషీన్లు
Double Stage,డబుల్ స్టేజ్
Download CSV template,CSV టెంప్లేట్ డౌన్‌లోడ్ చేయి
Draft,డ్రాఫ్ట్
Dry Run,డ్రై రన్
Due,గడువు
Duty Point,డ్యూటీ పాయింట్
Duty Points,డ్యూటీ పాయింట్లు
Dynamic balancing and CNC grinding,డైనమిక్ బ్యాలెన్సింగ్ మరియు CNC గ్రైండింగ్
EXPIRED,వారంటీ ముగిసింది
EXPIRING SOON,త్వరలో ముగుస్తుంది
EXPIRING SOON - {0} days left (expires {1}),త్వరలో ముగుస్తుంది - {0} రోజులు మిగిలాయి ({1} న ముగుస్తుంది)
Efficiency %,సామర్థ్యం %
Electrical & Mechanical Tests,విద్యుత్ & యాంత్రిక పరీక్షలు
Electrical Motors,విద్యుత్ మోటార్లు
Electrical Test,విద్యుత్ పరీక్ష
Element,మూలకం
Email,ఇమెయిల్
Employee,ఉద్యోగి
Enable Heat Traceability,హీట్ ట్రేసబిలిటీ ఆన్ చేయి
Enable Test Certificate,టెస్ట్ సర్టిఫికెట్ ఆన్ చేయి
End Customer,చివరి కస్టమర్
Engine Driven Pumps,ఇంజన్ నడిచే పంపులు
Enter a serial number,సీరియల్ నంబర్ ఇవ్వండి
Enter serial number from the nameplate,నేమ్‌ప్లేట్ మీద ఉన్న సీరియల్ నంబర్ ఇవ్వండి
Enter the spectrometer readings before approving this heat for pouring,ఈ హీట్‌ను పోయడానికి ఆమోదించే ముందు స్పెక్ట్రోమీటర్ రీడింగ్‌లను నమోదు చేయండి
"Every complaint and claim you have with KUMAR, and where it stands.","KUMAR తో మీకున్న ప్రతి ఫిర్యాదు, క్లెయిమ్ మరియు వాటి స్థితి."
"Every complaint and warranty claim you have with KUMAR, newest first, and exactly where each one stands.","KUMAR తో మీకున్న ప్రతి ఫిర్యాదు మరియు వారంటీ క్లెయిమ్, కొత్తవి ముందుగా, ప్రతి ఒక్కటి ఏ దశలో ఉందో సహా."
Every configurable assumption lives here - nothing is hardcoded.,మార్చుకోగల ప్రతి అంశం ఇక్కడే ఉంటుంది - ఏదీ కోడ్‌లో స్థిరంగా రాయలేదు.
Every order has been received and billed.,"అన్ని ఆర్డర్‌లు అందాయి, బిల్లులూ వచ్చాయి."
Every outlet moved stock,ప్రతి అవుట్‌లెట్ స్టాక్ అమ్మింది
"Every pump component machined on computerised machines, so parts are interchangeable across a production run.","ప్రతి పంప్ భాగాన్ని కంప్యూటరైజ్డ్ మెషీన్ల మీద తయారు చేస్తాం, అందుకే ఒక ఉత్పత్తి బ్యాచ్‌లో భాగాలు ఒకదానికొకటి సరిపోతాయి."
"Every pump we build carries its own history - the melt its casing came from, the winding lot in its stator, the test bench reading before it left, and the warranty that started the day a dealer sold it. One serial number answers all of it.","మేము తయారు చేసే ప్రతి పంప్‌కు దాని సొంత చరిత్ర ఉంటుంది - దాని కేసింగ్ ఏ మెల్ట్ నుండి వచ్చింది, స్టేటర్‌లో ఏ వైండింగ్ లాట్ ఉంది, బయటకు వెళ్ళే ముందు టెస్ట్ బెంచ్ మీద ఏ రీడింగ్ వచ్చింది, డీలర్ అమ్మిన రోజు మొదలైన వారంటీ ఏది. ఒక సీరియల్ నంబర్ ఇవన్నీ చెబుతుంది."
Evidence,ఆధారాలు
Expired,వారంటీ ముగిసింది
Expires,ముగుస్తుంది
Expiring 30d,30 రోజుల్లో ముగుస్తున్నవి
Expiring Soon,త్వరలో ముగుస్తుంది
Export Dealers (CSV),డీలర్లను ఎక్స్‌పోర్ట్ చేయి (CSV)
Export Employee List (CSV),ఉద్యోగుల జాబితాను ఎక్స్‌పోర్ట్ చేయి (CSV)
Export Invoices (CSV),ఇన్‌వాయిస్‌లను ఎక్స్‌పోర్ట్ చేయి (CSV)
Export Work Orders (CSV),వర్క్ ఆర్డర్‌లను ఎక్స్‌పోర్ట్ చేయి (CSV)
Fail,ఫెయిల్
Failed,విఫలమైంది
Failure rate {0}% (threshold {1}%),లోపాల రేటు {0}% (పరిమితి {1}%)
Family,కుటుంబం
Family Code,కుటుంబ కోడ్
Fault %,లోపం %
Feedback,అభిప్రాయం
Fettling & Shot Blast,ఫెట్లింగ్ & షాట్ బ్లాస్ట్
Field engineer who attends service requests.,సర్వీస్ రిక్వెస్ట్‌లకు వెళ్ళే ఫీల్డ్ ఇంజనీర్.
Fifty years of upgrading the shop floor,యాభై ఏళ్ళుగా షాప్ ఫ్లోర్‌ను మెరుగుపరుస్తూ
Find,వెతుకు
Findings,కనుగొన్నవి
Finished Stock,సిద్ధమైన స్టాక్
First Response,మొదటి స్పందన
Flat submersible cable,ఫ్లాట్ సబ్‌మెర్సిబుల్ కేబుల్
For KUMAR Pumps &amp; Motors,KUMAR పంపులు &amp; మోటార్ల తరఫున
"For service, contact your KUMAR dealer or the nearest branch office. Warranty covers manufacturing defects only.",సర్వీస్ కోసం మీ KUMAR డీలర్‌ను లేదా దగ్గరి బ్రాంచ్ ఆఫీసును సంప్రదించండి. వారంటీ తయారీ లోపాలకు మాత్రమే వర్తిస్తుంది.
Foundry & Winding,ఫౌండ్రీ & వైండింగ్
Foundry Heats,ఫౌండ్రీ హీట్‌లు
Foundry Heats by Day,రోజువారీ ఫౌండ్రీ హీట్‌లు
Foundry Operator,ఫౌండ్రీ ఆపరేటర్
Free (in warranty),ఉచితం (వారంటీలో)
Frequency (Hz),ఫ్రీక్వెన్సీ (Hz)
Fulfilled,పూర్తయింది
Full Load Current (A),ఫుల్ లోడ్ కరెంట్ (A)
Full Unit Replacement,పూర్తి యూనిట్ రిప్లేస్‌మెంట్
Furnace,ఫర్నేస్
GST {0},GST {0}
GSTIN,GSTIN
Genealogy of Produced Units,తయారైన యూనిట్ల వంశవృక్షం
Genealogy: {0},వంశవృక్షం: {0}
General Ledger,జనరల్ లెడ్జర్
Get the template,టెంప్లేట్ తీసుకోండి
Go To,వెళ్ళు
Goods Received,సరుకు అందింది
Grade,గ్రేడ్
Grade Achieved,సాధించిన గ్రేడ్
Grand Total,గ్రాండ్ టోటల్
Grinding,గ్రైండింగ్
Gross,స్థూలం
Gross Margin,స్థూల మార్జిన్
Gross Wage Bill,స్థూల జీతాల బిల్లు
Growth %,వృద్ధి %
Gunmetal,గన్‌మెటల్
HP,HP
Hand Pumps,చేతి పంపులు
Head (m),హెడ్ (మీ)
Head Max (m),గరిష్ఠ హెడ్ (మీ)
Head Min (m),కనిష్ఠ హెడ్ (మీ)
Head office,ప్రధాన కార్యాలయం
Headcount,సిబ్బంది సంఖ్య
Headcount by Department,విభాగం వారీ సిబ్బంది
Headcount by Grade,గ్రేడ్ వారీ సిబ్బంది
Heat,హీట్
Heat Chemistry Log,హీట్ రసాయన కూర్పు లాగ్
Heat Date,హీట్ తేదీ
Heat Grade,హీట్ గ్రేడ్
Heat No,హీట్ నంబర్
Heat Record,హీట్ రికార్డు
Heat Spectro Reading,హీట్ స్పెక్ట్రో రీడింగ్
Heats,హీట్‌లు
HiPot,HiPot
HiPot Result,HiPot ఫలితం
HiPot Test (kV),HiPot టెస్ట్ (kV)
HiPot Voltage (kV),HiPot వోల్టేజ్ (kV)
Hide,దాచు
High,ఎక్కువ
High Pressure Pumps,హై ప్రెషర్ పంపులు
Historical Import,పాత రికార్డుల ఇంపోర్ట్
Historical Serial Import,పాత సీరియల్ నంబర్ల ఇంపోర్ట్
Home,హోమ్
How it is made,ఎలా తయారవుతుంది
How your weeks went,మీ వారాలు ఎలా గడిచాయి
Hydrostatic,హైడ్రోస్టాటిక్
Hydrostatic Pressure (kg/cm2),హైడ్రోస్టాటిక్ ఒత్తిడి (kg/cm2)
Hydrostatic Result,హైడ్రోస్టాటిక్ ఫలితం
ID,ID
IN WARRANTY,వారంటీలో ఉంది
IN WARRANTY - expires {0} ({1} days left),వారంటీలో ఉంది - {0} న ముగుస్తుంది ({1} రోజులు మిగిలాయి)
IR Test (Mohm),IR టెస్ట్ (Mohm)
Icon,ఐకాన్
Identity & QR,గుర్తింపు & QR
Image,చిత్రం
Impeller,ఇంపెల్లర్
Impeller Damage,ఇంపెల్లర్ దెబ్బతింది
Impeller Material,ఇంపెల్లర్ మెటీరియల్
Import,ఇంపోర్ట్
Import now,ఇప్పుడే ఇంపోర్ట్ చేయి
"Import this file? Registrations are submitted, so they can only be cancelled afterwards, never deleted.","ఈ ఫైల్‌ను ఇంపోర్ట్ చేయాలా? రిజిస్ట్రేషన్లు సబ్మిట్ అవుతాయి, కాబట్టి తర్వాత రద్దు చేయవచ్చు, తొలగించలేము."
Importing...,ఇంపోర్ట్ అవుతోంది...
In Progress,జరుగుతోంది
In Warranty,వారంటీలో ఉంది
Inconsistent Result,ఫలితం సరిపోలలేదు
Induction furnace and metallurgical lab,ఇండక్షన్ ఫర్నేస్ మరియు మెటలర్జికల్ ల్యాబ్
Inductotherm induction furnace and metallurgical lab,ఇండక్టోథర్మ్ ఇండక్షన్ ఫర్నేస్ మరియు మెటలర్జికల్ ల్యాబ్
Industrial,పరిశ్రమ
Input GST {0},ఇన్‌పుట్ GST {0}
Input Power (kW),ఇన్‌పుట్ పవర్ (kW)
Input kW,ఇన్‌పుట్ kW
Installation,ఇన్‌స్టాలేషన్
Installation Error,ఇన్‌స్టాలేషన్ తప్పు
Installation Issue,ఇన్‌స్టాలేషన్ సమస్య
Installed At,ఇన్‌స్టాల్ చేసిన చోటు
Insulation Resistance (Mohm),ఇన్సులేషన్ రెసిస్టెన్స్ (Mohm)
Invalid Mobile Number,మొబైల్ నంబర్ సరైనది కాదు
Invoice,ఇన్‌వాయిస్
Invoice Issued By,ఇన్‌వాయిస్ జారీ చేసినవారు
Invoiced,ఇన్‌వాయిస్ చేయబడింది
"Iron melted to 1500&deg;C under control, and a spectrometer reading taken before the metal is ever poured.","ఇనుమును నియంత్రిత పద్ధతిలో 1500&deg;C వరకు కరిగించి, లోహాన్ని పోయడానికి ముందే స్పెక్ట్రోమీటర్ రీడింగ్ తీసుకుంటాం."
Is Active,వాడుకలో ఉంది
Is Group,గ్రూప్
Is KUMAR's Own Outlet,KUMAR సొంత అవుట్‌లెట్
Is Service Centre,సర్వీస్ సెంటర్
Item,ఐటమ్
Item Group,ఐటమ్ గ్రూప్
Item Name,ఐటమ్ పేరు
Item {0} does not exist,{0} ఐటమ్ లేదు
Item {0} is not serialised,{0} ఐటమ్‌కు సీరియల్ నంబర్లు లేవు
Item-wise Price List Rate,ఐటమ్ వారీ ధరల జాబితా
Items,ఐటమ్‌లు
Jet Monobloc,జెట్ మోనోబ్లాక్
Job Card,జాబ్ కార్డ్
Job Card Summary,జాబ్ కార్డ్ సారాంశం
Jobs waiting on you,మీ మీద ఉన్న పనులు
Joined,చేరిన తేదీ
Journal Entry,జర్నల్ ఎంట్రీ
KUKA and ABB robots on the machining lines,మెషీనింగ్ లైన్లలో KUKA మరియు ABB రోబోట్లు
KUMAR Branch,KUMAR బ్రాంచ్
KUMAR Dealer,KUMAR డీలర్
KUMAR Dealer Portal,KUMAR డీలర్ పోర్టల్
KUMAR Invoice,KUMAR ఇన్‌వాయిస్
KUMAR Invoice Required,KUMAR ఇన్‌వాయిస్ తప్పనిసరి
KUMAR Pumps & Motors,KUMAR పంపులు & మోటార్లు
KUMAR Pumps &amp; Motors,KUMAR పంపులు &amp; మోటార్లు
KUMAR Pumps - Warranty Check,KUMAR పంపులు - వారంటీ తనిఖీ
KUMAR brand since 1973,1973 నుండి KUMAR బ్రాండ్
